Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
clemson,ACC,21,1/25/25,@,Virginia Tech,REG (Conf),W,72,57,,28,58,0.483,7,21,0.333,21,37,0.568,0.543,9,13,0.692,11,22,33,12,2,2,5,17,19,50,0.38,7,19,0.368,12,31,0.387,0.45,12,21,0.571,9,17,26,10,3,1,8,15
clemson,ACC,22,2/1/25,@,NC State,REG (Conf),W,68,58,,26,54,0.481,6,17,0.353,20,37,0.541,0.537,10,12,0.833,3,24,27,10,6,4,5,10,23,60,0.383,9,22,0.409,14,38,0.368,0.458,3,6,0.5,11,23,34,8,4,4,10,12
clemson,ACC,23,2/4/25,,Georgia Tech,REG (Conf),L,86,89,3OT,28,77,0.364,12,37,0.324,16,40,0.4,0.442,18,21,0.857,14,28,42,12,9,8,12,21,35,83,0.422,7,28,0.25,28,55,0.509,0.464,12,25,0.48,20,32,52,9,7,3,15,17
clemson,ACC,24,2/8/25,,Duke,REG (Conf),W,77,71,,30,51,0.588,4,10,0.4,26,41,0.634,0.627,13,22,0.591,9,20,29,13,4,5,10,16,24,55,0.436,12,24,0.5,12,31,0.387,0.545,11,14,0.786,8,14,22,9,8,2,9,23
clemson,ACC,25,2/10/25,,North Carolina,REG (Conf),W,85,65,,32,64,0.5,12,25,0.48,20,39,0.513,0.594,9,12,0.75,13,25,38,17,8,9,13,12,28,62,0.452,4,19,0.211,24,43,0.558,0.484,5,11,0.455,8,18,26,13,8,5,13,14
clemson,ACC,26,2/15/25,@,Florida State,REG (Conf),W,72,46,,29,61,0.475,8,27,0.296,21,34,0.618,0.541,6,9,0.667,10,30,40,18,10,1,11,17,18,53,0.34,2,15,0.133,16,38,0.421,0.358,8,19,0.421,12,20,32,5,6,3,14,12
clemson,ACC,27,2/22/25,@,SMU,REG (Conf),W,79,69,,28,57,0.491,14,29,0.483,14,28,0.5,0.614,9,11,0.818,8,15,23,24,9,5,9,18,25,57,0.439,8,25,0.32,17,32,0.531,0.509,11,14,0.786,16,19,35,16,9,4,15,12
clemson,ACC,28,2/26/25,,Notre Dame,REG (Conf),W,83,68,,30,63,0.476,9,23,0.391,21,40,0.525,0.548,14,18,0.778,8,19,27,23,5,2,3,18,22,49,0.449,5,16,0.313,17,33,0.515,0.5,19,21,0.905,6,24,30,10,0,1,10,15
clemson,ACC,29,3/1/25,@,Virginia,REG (Conf),W,71,58,,26,55,0.473,1,10,0.1,25,45,0.556,0.482,18,23,0.783,7,25,32,13,5,3,7,11,22,52,0.423,8,19,0.421,14,33,0.424,0.5,6,10,0.6,4,22,26,14,3,8,9,19
clemson,ACC,30,3/5/25,@,Boston College,REG (Conf),W,78,69,,29,58,0.5,8,20,0.4,21,38,0.553,0.569,12,16,0.75,12,28,40,11,5,4,13,16,25,60,0.417,6,18,0.333,19,42,0.452,0.467,13,18,0.722,7,17,24,11,8,4,7,14
